country,region,ladder_score,GDP,social_support,healthy_life_exp,life_choice_freedom,Generosity,perception_of_corruption
Finland,Western Europe,7.8420000000000005,10.775,0.9540000000000001,72.0,0.9490000000000001,-0.098,0.18600000000000003
Denmark,Western Europe,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179
Switzerland,Western Europe,7.571000000000001,11.117,0.9420000000000001,74.4,0.919,0.025,0.292
Iceland,Western Europe,7.553999999999999,10.878,0.983,73.0,0.955,0.16,0.6729999999999999
Netherlands,Western Europe,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997
Norway,Western Europe,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27
Sweden,Western Europe,7.3629999999999995,10.867,0.934,72.7,0.945,0.086,0.237
Luxembourg,Western Europe,7.324,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386
New Zealand,North America and ANZ,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242
Austria,Western Europe,7.268,10.905999999999999,0.934,73.3,0.9079999999999999,0.042,0.48100000000000004
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442
Israel,Middle East and North Africa,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46
Canada,North America and ANZ,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415
Ireland,Western Europe,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363
Costa Rica,Latin America and Caribbean,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809
United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.8590000000000001,0.233,0.45899999999999996
Czech Republic,Central and Eastern Europe,6.965,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868
United States,North America and ANZ,6.9510000000000005,11.023,0.92,68.2,0.8370000000000001,0.098,0.698
Belgium,Western Europe,6.834,10.823,0.9059999999999999,72.199,0.7829999999999999,-0.153,0.6459999999999999
France,Western Europe,6.69,10.704,0.9420000000000001,74.0,0.8220000000000001,-0.147,0.5710000000000001
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.08900000000000001,0.722
Malta,Western Europe,6.602,10.674000000000001,0.9309999999999999,72.2,0.927,0.133,0.653
